asset_id,account_id,asset_type,installation_date,asset_status,location,maintenance_cost,service_number
AST00296,ACC00301,Cloud Voice,01/01/2026,Inactive,Glasgow,3.28,CV6520091203
AST00297,ACC00643,Ethernet Circuit,17/02/2024,Active,Bristol,18.77,ETH5866489990
AST00298,ACC00791,FTTC Broadband,28/04/2024,Active,Liverpool,7.81,FTTC9619133172
AST00299,ACC00470,FTTC Broadband,10/07/2025,Active,Edinburgh,7.75,FTTC7113500569
AST00300,ACC00435,Ethernet Circuit,04/03/2024,Active,Cardiff,71.94,ETH4836751798
AST00301,ACC00035,FTTC Broadband,03/09/2025,Ceased,Bristol,9.49,FTTC9934661619
AST00302,ACC00703,PSTN Line,06/07/2025,Active,Cardiff,4.25,PSTN6013034565
AST00303,ACC00752,Cloud Voice,14/10/2023,Active,Bristol,1.53,CV5847056616
AST00304,ACC00923,SD-WAN,04/10/2025,Active,Edinburgh,43.3,SDWAN7209025501
AST00305,ACC00070,PSTN Line,23/12/2023,Ceased,Cardiff,2.86,PSTN1952004414
AST00306,ACC00904,Ethernet Circuit,23/03/2025,Inactive,Manchester,24.54,ETH6385257472
AST00307,ACC00070,MPLS Circuit,24/12/2023,Active,Birmingham,53.51,MPLS1251506999
AST00308,ACC00425,SIP Trunk,22/05/2025,Active,Liverpool,1.19,SIP6272992614
AST00309,ACC00509,Ethernet Circuit,24/07/2024,Active,Reading,17.97,ETH9346052661
AST00310,ACC00349,MPLS Circuit,18/03/2025,Active,Glasgow,27.64,MPLS6258355792
AST00311,ACC00838,MPLS Circuit,02/07/2024,Active,Reading,46.85,MPLS6445290449
AST00312,ACC00616,MPLS Circuit,05/05/2024,Active,Manchester,40.45,MPLS5907941690
AST00313,ACC00892,Mobile Voice,27/05/2023,Active,Liverpool,1.33,MOB4704186689
AST00314,ACC00219,PSTN Line,24/08/2024,Active,Birmingham,1.87,PSTN1933355765
AST00315,ACC00414,Broadband,17/01/2024,Active,Liverpool,3.07,BB5392449877
AST00316,ACC00193,MPLS Circuit,03/09/2025,Active,Liverpool,20.6,MPLS4370962021
AST00317,ACC00056,SIP Trunk,17/09/2025,Active,Manchester,1.44,SIP2568118652
AST00318,ACC00413,FTTC Broadband,20/04/2024,Active,Cardiff,4.3,FTTC3808103680
AST00319,ACC00170,SIP Trunk,07/04/2025,Ceased,Reading,3.99,SIP1029605660
AST00320,ACC00944,FTTP Broadband,03/09/2023,Active,Bristol,8.0,FTTP7274345901
AST00321,ACC00421,Mobile Voice,22/11/2025,Active,Edinburgh,5.1,MOB4040938001
AST00322,ACC00336,Broadband,07/02/2024,Ceased,Glasgow,5.41,BB7663814119
AST00323,ACC00433,FTTP Broadband,30/12/2024,Active,Manchester,5.25,FTTP2161954773
AST00324,ACC00553,MPLS Circuit,11/04/2026,Active,Liverpool,34.11,MPLS4989822384
AST00325,ACC00121,FTTC Broadband,07/07/2024,Inactive,Birmingham,5.81,FTTC6575360362
AST00326,ACC00698,FTTP Broadband,04/08/2024,Active,Leeds,12.37,FTTP6704530718
AST00327,ACC00198,SIP Trunk,12/09/2024,Inactive,Leeds,4.66,SIP8241653287
AST00328,ACC00489,SIP Trunk,19/04/2025,Active,Edinburgh,3.92,SIP4144866149
AST00329,ACC00476,Cloud Voice,12/08/2025,Inactive,Manchester,0.89,CV2462505401
AST00330,ACC00486,SD-WAN,11/10/2025,Active,Birmingham,32.86,SDWAN8158157638
AST00331,ACC00837,Cloud Voice,16/09/2024,Active,London,0.58,CV4564832974
AST00332,ACC00790,Ethernet Circuit,09/11/2025,Active,Edinburgh,57.77,ETH7776846471
AST00333,ACC00859,Mobile Voice,12/04/2025,Active,Liverpool,8.32,MOB9075373719
AST00334,ACC00844,FTTC Broadband,02/07/2025,Active,Leeds,10.38,FTTC1042730658
AST00335,ACC00082,Cloud Voice,03/03/2023,Active,Edinburgh,1.34,CV6759064435
AST00336,ACC00197,PSTN Line,08/08/2024,Inactive,Bristol,4.53,PSTN7254984915
AST00337,ACC00466,Broadband,05/10/2023,Active,Liverpool,5.87,BB7302205852
AST00338,ACC00214,Broadband,26/09/2024,Ceased,Bristol,4.9,BB4798791187
AST00339,ACC00675,MPLS Circuit,27/05/2025,Active,Edinburgh,11.93,MPLS6410766203
AST00340,ACC00017,Cloud Voice,14/02/2025,Inactive,Bristol,1.91,CV8031380751
AST00341,ACC00626,SIP Trunk,03/09/2024,Active,Liverpool,2.76,SIP5261998315
AST00342,ACC00621,Ethernet Circuit,10/08/2025,Active,London,23.18,ETH3994872658
AST00343,ACC00658,PSTN Line,25/06/2024,Active,Reading,2.48,PSTN6436963502
AST00344,ACC00018,Ethernet Circuit,23/11/2025,Active,Glasgow,32.61,ETH2234476488
AST00345,ACC00243,PSTN Line,18/12/2024,Inactive,Leeds,5.3,PSTN8414997012
AST00346,ACC00107,Mobile Voice,06/09/2023,Active,Cardiff,6.12,MOB1207139040
AST00347,ACC00188,Mobile Voice,23/10/2025,Inactive,Bristol,7.02,MOB7867181408
AST00348,ACC00621,Broadband,12/08/2024,Inactive,Glasgow,10.17,BB3391814205
AST00349,ACC00543,Ethernet Circuit,13/03/2025,Inactive,Bristol,29.38,ETH5179062259
AST00350,ACC00777,MPLS Circuit,26/12/2024,Active,Bristol,22.64,MPLS3589407719
AST00351,ACC00322,Mobile Voice,19/08/2025,Ceased,Manchester,2.19,MOB3944896047
AST00352,ACC00354,Ethernet Circuit,02/10/2024,Active,Cardiff,41.69,ETH7224152990
AST00353,ACC00291,FTTC Broadband,10/02/2026,Active,Birmingham,8.13,FTTC7950232725
AST00354,ACC00978,Cloud Voice,22/12/2024,Active,Glasgow,3.02,CV3978329470
AST00355,ACC00261,MPLS Circuit,02/05/2024,Active,Leeds,16.15,MPLS1010341991
AST00356,ACC00414,FTTC Broadband,12/04/2025,Active,Edinburgh,5.64,FTTC1548585854
AST00357,ACC00350,Cloud Voice,17/09/2023,Active,London,1.18,CV4415173516
AST00358,ACC00324,PSTN Line,16/03/2024,Active,Manchester,5.86,PSTN1285220493
AST00359,ACC00495,Cloud Voice,01/02/2024,Ceased,London,0.5,CV1282380474
AST00360,ACC00151,MPLS Circuit,15/01/2026,Inactive,London,32.31,MPLS3865007439
AST00361,ACC00310,SIP Trunk,31/10/2024,Inactive,London,0.7,SIP6430712477
AST00362,ACC00445,FTTC Broadband,20/04/2025,Active,Cardiff,9.52,FTTC4034066886
AST00363,ACC00466,Mobile Voice,18/09/2025,Active,Glasgow,6.35,MOB7877331151
AST00364,ACC00603,Broadband,22/03/2026,Active,London,6.42,BB4150852652
AST00365,ACC00785,SD-WAN,28/02/2026,Active,Birmingham,7.63,SDWAN2467555359
AST00366,ACC00759,SIP Trunk,19/04/2023,Active,Edinburgh,2.75,SIP6570918964
AST00367,ACC00754,SD-WAN,02/02/2023,Active,Manchester,35.83,SDWAN2496848534
AST00368,ACC00954,Mobile Voice,21/04/2024,Active,Glasgow,1.65,MOB4658743628
AST00369,ACC00789,Mobile Voice,21/06/2025,Active,Bristol,4.93,MOB1118558574
AST00370,ACC00753,Ethernet Circuit,10/01/2026,Ceased,Birmingham,66.98,ETH2876125136
AST00371,ACC00616,SD-WAN,27/01/2026,Active,Leeds,49.6,SDWAN6468931249
AST00372,ACC00078,Cloud Voice,01/04/2026,Ceased,Liverpool,0.89,CV8945200498
AST00373,ACC00566,MPLS Circuit,27/02/2023,Active,London,36.78,MPLS2271238923
AST00374,ACC00767,MPLS Circuit,14/03/2024,Active,Cardiff,45.81,MPLS6333044300
AST00375,ACC00539,PSTN Line,31/07/2023,Ceased,Leeds,1.97,PSTN7011455407
AST00376,ACC00389,Ethernet Circuit,18/12/2024,Active,Liverpool,12.06,ETH9598260218
AST00377,ACC00714,Ethernet Circuit,13/04/2026,Active,Cardiff,18.15,ETH6762010148
AST00378,ACC00109,Ethernet Circuit,29/11/2024,Active,Bristol,62.2,ETH9973296894
AST00379,ACC00084,SD-WAN,01/06/2024,Ceased,Edinburgh,13.87,SDWAN7415749339
AST00380,ACC00573,SD-WAN,31/08/2023,Ceased,Glasgow,35.24,SDWAN3189247134
AST00381,ACC00973,SIP Trunk,06/03/2025,Active,Cardiff,1.67,SIP9027649644
AST00382,ACC00670,MPLS Circuit,06/06/2024,Active,Reading,42.89,MPLS7063227334
AST00383,ACC00524,MPLS Circuit,16/01/2025,Active,Reading,30.07,MPLS9514078689
AST00384,ACC00330,SD-WAN,25/04/2024,Active,Manchester,11.3,SDWAN1272224122
AST00385,ACC00616,FTTP Broadband,18/02/2023,Active,London,14.81,FTTP8120250976
AST00386,ACC00084,MPLS Circuit,09/01/2025,Active,Leeds,35.14,MPLS2680748784
AST00387,ACC00626,SD-WAN,06/06/2024,Active,Glasgow,38.26,SDWAN8310059458
AST00388,ACC00068,FTTP Broadband,01/02/2023,Active,Cardiff,10.99,FTTP7231164850
AST00389,ACC00823,Cloud Voice,14/05/2025,Inactive,Cardiff,2.8,CV9688240635
AST00390,ACC00872,SD-WAN,28/02/2026,Active,Leeds,16.6,SDWAN4139403393
AST00391,ACC00952,PSTN Line,06/08/2025,Active,Bristol,1.06,PSTN6805406270
AST00392,ACC00497,Mobile Voice,03/08/2025,Active,Edinburgh,1.25,MOB7771516832
AST00393,ACC00729,PSTN Line,18/01/2025,Active,Bristol,1.76,PSTN9686972612
AST00394,ACC00713,FTTC Broadband,05/11/2023,Active,Manchester,7.67,FTTC9970184347
AST00395,ACC00568,SD-WAN,05/08/2025,Active,Bristol,23.04,SDWAN3942707124
AST00396,ACC00423,Mobile Voice,31/12/2024,Active,Birmingham,2.95,MOB5593782063
AST00397,ACC00361,PSTN Line,27/03/2023,Inactive,Cardiff,3.65,PSTN1537817813
AST00398,ACC00384,Mobile Voice,02/09/2024,Active,London,3.19,MOB8484984157
AST00399,ACC00508,Mobile Voice,10/04/2024,Active,London,7.24,MOB8644074137
AST00400,ACC00588,MPLS Circuit,13/04/2024,Active,Leeds,53.58,MPLS5611015370
AST00401,ACC00885,Broadband,27/05/2023,Active,Glasgow,10.44,BB5497343406
AST00402,ACC00646,Mobile Voice,15/06/2023,Active,Birmingham,1.71,MOB5962021866
AST00403,ACC00193,Mobile Voice,07/07/2023,Active,Cardiff,4.55,MOB9423698508
AST00404,ACC00244,MPLS Circuit,05/03/2026,Active,Leeds,28.84,MPLS7417551995
AST00405,ACC00595,Ethernet Circuit,09/02/2026,Ceased,Leeds,21.31,ETH6864221791
AST00406,ACC00974,SD-WAN,10/12/2025,Active,Birmingham,38.04,SDWAN6846045167
AST00407,ACC00949,FTTC Broadband,16/08/2025,Active,Reading,12.28,FTTC4532369502
AST00408,ACC00847,FTTC Broadband,22/09/2023,Active,Liverpool,7.44,FTTC8473622996
AST00409,ACC00852,FTTC Broadband,15/01/2026,Active,Manchester,4.33,FTTC9840425665
AST00410,ACC00872,Cloud Voice,14/12/2024,Active,Cardiff,1.59,CV8551725326
AST00411,ACC00828,FTTP Broadband,06/07/2023,Active,Liverpool,3.0,FTTP3096344165
AST00412,ACC00418,Broadband,12/01/2023,Active,Birmingham,6.12,BB7150397228
AST00413,ACC00085,Ethernet Circuit,29/08/2023,Active,Birmingham,59.99,ETH2519015066
AST00414,ACC00221,Mobile Voice,08/10/2024,Active,Liverpool,4.39,MOB4387392916
AST00415,ACC00881,Ethernet Circuit,15/09/2025,Active,Leeds,21.98,ETH1155418082
AST00416,ACC00115,FTTP Broadband,29/11/2024,Active,Manchester,3.31,FTTP8731418106
AST00417,ACC00585,FTTC Broadband,04/10/2023,Active,Manchester,2.47,FTTC7820117525
AST00418,ACC00657,Ethernet Circuit,19/01/2023,Active,Edinburgh,47.19,ETH3787528904
AST00419,ACC00459,MPLS Circuit,18/05/2025,Active,Manchester,28.27,MPLS9495111745
AST00420,ACC00553,SIP Trunk,19/04/2023,Active,Glasgow,2.15,SIP5509141917
AST00421,ACC00769,FTTC Broadband,11/11/2025,Active,Cardiff,5.79,FTTC3974491020
AST00422,ACC00290,Mobile Voice,28/03/2024,Active,Leeds,3.23,MOB5842195932
AST00423,ACC00915,Broadband,08/03/2023,Active,Birmingham,10.49,BB8411151351
AST00424,ACC00456,Mobile Voice,21/10/2024,Inactive,Reading,7.89,MOB9122692565
AST00425,ACC00716,FTTC Broadband,02/06/2024,Inactive,Bristol,2.25,FTTC6105925481
AST00426,ACC00358,Broadband,09/04/2024,Active,Manchester,4.91,BB3396352217
AST00427,ACC00727,Cloud Voice,26/07/2023,Active,Birmingham,2.82,CV7691396709
AST00428,ACC00196,SD-WAN,30/08/2023,Active,Glasgow,20.09,SDWAN6004881866
AST00429,ACC00479,SD-WAN,01/04/2024,Active,Reading,43.62,SDWAN6856409938
AST00430,ACC00053,Cloud Voice,06/12/2023,Active,Bristol,0.83,CV5560770119
AST00431,ACC00374,Broadband,14/04/2026,Active,Leeds,3.71,BB2728176812
AST00432,ACC00434,Cloud Voice,16/10/2023,Active,Manchester,0.71,CV6804534792
AST00433,ACC00746,PSTN Line,03/05/2023,Ceased,Cardiff,2.57,PSTN9909846033
AST00434,ACC00772,FTTC Broadband,20/11/2023,Active,Birmingham,11.19,FTTC9944364880
AST00435,ACC00208,Broadband,07/11/2024,Active,Manchester,9.33,BB4981586743
AST00436,ACC00027,MPLS Circuit,20/05/2023,Active,Cardiff,61.06,MPLS3972380571
AST00437,ACC00650,SIP Trunk,21/10/2024,Active,Reading,1.18,SIP2167177546
AST00438,ACC00939,Mobile Voice,16/08/2024,Active,London,2.82,MOB5077436193
AST00439,ACC00638,Broadband,13/04/2023,Active,Birmingham,8.18,BB1977507738
AST00440,ACC00878,Broadband,25/03/2026,Active,Liverpool,8.38,BB9477888432
AST00441,ACC00764,Mobile Voice,20/12/2023,Ceased,Birmingham,4.56,MOB8131154513
AST00442,ACC00483,SIP Trunk,21/11/2025,Active,Cardiff,2.65,SIP6699732469
AST00443,ACC00658,MPLS Circuit,12/07/2023,Inactive,Reading,12.42,MPLS4040139090
AST00444,ACC00937,Ethernet Circuit,10/11/2024,Active,Glasgow,18.69,ETH4288760571
AST00445,ACC00528,SD-WAN,15/11/2023,Active,Bristol,28.46,SDWAN5448989842
AST00446,ACC00939,FTTC Broadband,22/05/2023,Active,Cardiff,12.94,FTTC5503149932
AST00447,ACC00353,SD-WAN,04/02/2024,Active,Manchester,33.04,SDWAN7263881714
AST00448,ACC00677,Ethernet Circuit,27/12/2025,Active,London,52.54,ETH4503167236
AST00449,ACC00399,FTTP Broadband,14/07/2024,Active,Liverpool,11.68,FTTP2844303156
AST00450,ACC00390,Cloud Voice,06/10/2023,Ceased,Liverpool,0.89,CV9634777371
AST00451,ACC00557,Mobile Voice,23/11/2025,Active,Leeds,7.77,MOB6328693200
AST00452,ACC00441,Ethernet Circuit,20/10/2025,Inactive,Reading,37.76,ETH1180136619
AST00453,ACC00988,Broadband,02/03/2024,Active,Bristol,5.82,BB5926544343
AST00454,ACC00085,Broadband,11/03/2023,Ceased,Reading,1.65,BB9577392378
AST00455,ACC00834,SIP Trunk,09/07/2023,Active,Edinburgh,3.24,SIP1886227016
AST00456,ACC00281,Ethernet Circuit,11/10/2025,Active,Liverpool,34.29,ETH1654748213
AST00457,ACC00831,Mobile Voice,18/06/2023,Inactive,Bristol,4.58,MOB2242250706
AST00458,ACC00292,Broadband,30/03/2026,Active,Cardiff,3.4,BB6666438278
AST00459,ACC00927,Mobile Voice,10/08/2024,Active,Bristol,4.64,MOB8745897669
AST00460,ACC00624,FTTC Broadband,04/12/2023,Ceased,Reading,12.61,FTTC8449145208
AST00461,ACC00839,Ethernet Circuit,26/01/2025,Inactive,Cardiff,59.58,ETH3915235755
AST00462,ACC00438,Cloud Voice,03/08/2023,Active,Leeds,2.87,CV7383560617
AST00463,ACC00816,SIP Trunk,24/05/2025,Active,Bristol,4.24,SIP6187792411
AST00464,ACC00639,FTTC Broadband,03/09/2024,Active,Leeds,3.16,FTTC8956482646
AST00465,ACC00056,PSTN Line,22/03/2023,Inactive,Cardiff,1.12,PSTN8714498076
AST00466,ACC00688,Ethernet Circuit,24/04/2025,Ceased,London,29.57,ETH7746611490
AST00467,ACC00124,FTTP Broadband,22/08/2023,Active,Edinburgh,13.55,FTTP8914595303
AST00468,ACC00320,SD-WAN,09/01/2025,Active,Edinburgh,49.63,SDWAN7494840303
AST00469,ACC00689,FTTP Broadband,23/04/2024,Active,Manchester,7.08,FTTP2584657738
AST00470,ACC00589,Broadband,05/10/2024,Active,Bristol,2.63,BB4269875462
AST00471,ACC00328,Ethernet Circuit,10/10/2025,Active,Manchester,28.63,ETH5553460986
AST00472,ACC00665,SD-WAN,27/04/2024,Ceased,Liverpool,23.34,SDWAN4532055863
AST00473,ACC00808,FTTC Broadband,06/04/2026,Active,Cardiff,12.27,FTTC9294267592
AST00474,ACC00570,FTTP Broadband,31/01/2026,Active,Birmingham,2.83,FTTP1380695156
AST00475,ACC00027,SIP Trunk,16/01/2025,Inactive,Liverpool,4.37,SIP3737689274
AST00476,ACC00515,PSTN Line,26/11/2025,Active,Glasgow,2.94,PSTN4898377753
AST00477,ACC00236,PSTN Line,29/09/2025,Active,Manchester,5.03,PSTN1499961341
AST00478,ACC00530,FTTC Broadband,11/02/2025,Inactive,Edinburgh,9.84,FTTC3806270079
AST00479,ACC00558,PSTN Line,04/06/2025,Ceased,Leeds,2.31,PSTN4108976885
AST00480,ACC00791,SD-WAN,14/12/2024,Active,Birmingham,36.48,SDWAN4789337769
AST00481,ACC00392,FTTC Broadband,07/10/2025,Active,Cardiff,8.41,FTTC8610241218
AST00482,ACC00303,Broadband,10/10/2024,Active,Liverpool,5.92,BB4054268821
AST00483,ACC00243,Ethernet Circuit,23/10/2025,Active,Reading,49.22,ETH2032251034
AST00484,ACC00412,SD-WAN,02/01/2023,Active,Glasgow,21.76,SDWAN9224601635
AST00485,ACC00765,PSTN Line,28/01/2025,Active,Cardiff,2.91,PSTN6761811505
AST00486,ACC00567,Cloud Voice,08/02/2025,Active,Glasgow,3.21,CV2478574144
AST00487,ACC00778,FTTC Broadband,01/05/2025,Active,Birmingham,5.21,FTTC4090749720
AST00488,ACC00776,Cloud Voice,18/01/2024,Inactive,Manchester,0.87,CV8104686547
AST00489,ACC00210,MPLS Circuit,06/03/2026,Active,London,38.83,MPLS8483094625
AST00490,ACC00225,PSTN Line,18/09/2025,Active,Glasgow,1.77,PSTN9185662365
AST00491,ACC00633,FTTC Broadband,06/12/2024,Active,Glasgow,11.68,FTTC5862742529
AST00492,ACC00335,FTTP Broadband,22/07/2023,Active,Manchester,2.68,FTTP9867141561
AST00493,ACC00930,Mobile Voice,18/08/2023,Active,London,2.44,MOB1760233563
AST00494,ACC00181,SD-WAN,30/08/2025,Active,Manchester,16.09,SDWAN6598084399
AST00495,ACC00066,MPLS Circuit,20/07/2024,Active,London,44.38,MPLS4259153302
AST00496,ACC00737,Ethernet Circuit,19/11/2024,Active,Cardiff,67.97,ETH3723391490
AST00497,ACC00708,Ethernet Circuit,21/10/2025,Active,Birmingham,56.06,ETH4237413984
AST00498,ACC00400,SIP Trunk,19/07/2024,Active,Birmingham,3.47,SIP3098409063
AST00499,ACC00260,FTTP Broadband,12/05/2025,Active,Birmingham,12.24,FTTP2077897697
AST00500,ACC00414,FTTC Broadband,08/03/2025,Active,Manchester,6.92,FTTC5950276821
AST00501,ACC00941,Ethernet Circuit,01/07/2025,Active,Reading,39.76,ETH1390769727
AST00502,ACC00794,Ethernet Circuit,11/07/2024,Active,Bristol,47.04,ETH8100453317
AST00503,ACC00247,PSTN Line,04/01/2025,Active,Reading,4.83,PSTN1909785399
AST00504,ACC00370,SD-WAN,24/10/2023,Active,Birmingham,35.28,SDWAN9484521746
AST00505,ACC00175,SD-WAN,14/08/2024,Ceased,Birmingham,38.2,SDWAN4674448599
AST00506,ACC00803,SD-WAN,14/04/2026,Active,Edinburgh,27.52,SDWAN3418458614
AST00507,ACC00048,SD-WAN,13/07/2024,Active,London,14.93,SDWAN1097725611
AST00508,ACC00649,MPLS Circuit,15/06/2024,Ceased,Bristol,22.43,MPLS1496200320
AST00509,ACC00116,Cloud Voice,24/06/2025,Active,Glasgow,3.08,CV7255600817
AST00510,ACC00442,Broadband,13/02/2025,Active,Manchester,3.36,BB1163510022
AST00511,ACC00690,Broadband,26/09/2024,Active,Manchester,4.48,BB2752714061
AST00512,ACC00363,SIP Trunk,20/05/2024,Active,Glasgow,3.77,SIP6357279195
AST00513,ACC00777,Mobile Voice,25/10/2023,Active,Manchester,2.79,MOB7567774369
AST00514,ACC00866,Mobile Voice,22/10/2024,Ceased,Edinburgh,5.79,MOB7868971487
AST00515,ACC00248,PSTN Line,07/07/2023,Active,Glasgow,6.05,PSTN2395324945
AST00516,ACC00524,FTTC Broadband,04/03/2023,Active,Cardiff,4.89,FTTC7468167962
AST00517,ACC00685,Mobile Voice,25/01/2026,Active,Reading,7.89,MOB3918861197
AST00518,ACC00657,Cloud Voice,01/11/2025,Active,Reading,0.95,CV9247829159
AST00519,ACC00853,PSTN Line,05/07/2024,Ceased,Liverpool,2.45,PSTN5175592700
AST00520,ACC00569,SD-WAN,26/01/2023,Active,London,18.78,SDWAN7640106228
AST00521,ACC00897,FTTC Broadband,22/02/2026,Active,Glasgow,3.92,FTTC9137385544
AST00522,ACC00804,MPLS Circuit,16/01/2023,Active,Liverpool,35.04,MPLS3565913142
AST00523,ACC00992,Ethernet Circuit,23/07/2024,Ceased,Bristol,16.12,ETH4545121427
AST00524,ACC00597,Mobile Voice,16/11/2023,Active,Reading,2.5,MOB8345309346
AST00525,ACC00346,Ethernet Circuit,19/02/2024,Active,Glasgow,66.96,ETH9674609968
AST00526,ACC00976,Mobile Voice,06/05/2025,Active,Reading,2.65,MOB8580993840
AST00527,ACC00739,SIP Trunk,26/08/2025,Inactive,Manchester,0.94,SIP3110144676
AST00528,ACC00576,FTTC Broadband,11/01/2024,Active,Reading,3.38,FTTC1319115997
AST00529,ACC00796,FTTC Broadband,08/01/2023,Active,Manchester,10.71,FTTC2564704297
AST00530,ACC00105,PSTN Line,28/01/2023,Active,Reading,4.88,PSTN2134804262
AST00531,ACC00504,Broadband,04/07/2025,Active,Liverpool,8.13,BB8429323327
AST00532,ACC00477,Cloud Voice,13/02/2023,Active,Leeds,2.01,CV9551397442
AST00533,ACC00329,Broadband,04/12/2023,Active,Glasgow,9.91,BB1487319884
AST00534,ACC00775,PSTN Line,09/01/2023,Ceased,Bristol,1.82,PSTN2573057658
AST00535,ACC00823,Mobile Voice,03/03/2023,Active,Edinburgh,3.62,MOB9768797345
AST00536,ACC00003,PSTN Line,01/02/2024,Active,Reading,2.61,PSTN2898983977
AST00537,ACC00334,FTTP Broadband,07/09/2025,Ceased,Reading,14.65,FTTP2802205933
AST00538,ACC00040,Mobile Voice,01/09/2023,Active,Reading,5.8,MOB7347966042
AST00539,ACC00701,Broadband,30/11/2024,Active,Cardiff,4.4,BB4451752398
AST00540,ACC00424,FTTP Broadband,06/08/2023,Active,Glasgow,15.41,FTTP6336975393
AST00541,ACC00619,Cloud Voice,13/09/2024,Active,Liverpool,2.61,CV3147358558
AST00542,ACC00596,Ethernet Circuit,31/10/2023,Active,Leeds,23.82,ETH7910773414
AST00543,ACC00408,Broadband,09/12/2024,Active,Edinburgh,10.51,BB9541367393
AST00544,ACC00080,FTTP Broadband,22/09/2025,Active,Birmingham,14.86,FTTP4803239542
AST00545,ACC00653,SIP Trunk,02/03/2023,Ceased,Liverpool,1.69,SIP5461103645
AST00546,ACC00140,FTTP Broadband,14/02/2026,Active,Birmingham,14.9,FTTP3618598768
AST00547,ACC00100,Cloud Voice,01/04/2023,Active,Birmingham,0.71,CV9163406664
AST00548,ACC00064,Broadband,15/09/2024,Inactive,Leeds,8.63,BB8013097419
AST00549,ACC00928,SIP Trunk,14/04/2025,Active,Edinburgh,4.47,SIP3827170927
AST00550,ACC00893,Ethernet Circuit,17/01/2023,Active,Cardiff,34.05,ETH3715083201
AST00551,ACC00950,SIP Trunk,19/01/2025,Active,Birmingham,3.1,SIP9960577364
AST00552,ACC00371,Cloud Voice,21/11/2024,Active,Liverpool,1.28,CV9621028616
AST00553,ACC00308,Ethernet Circuit,30/12/2023,Active,Birmingham,11.0,ETH7369591251
AST00554,ACC00781,Cloud Voice,22/09/2025,Active,Bristol,1.01,CV5965044543
AST00555,ACC00529,PSTN Line,10/05/2025,Active,Liverpool,5.16,PSTN6040129621
AST00556,ACC00331,SIP Trunk,12/10/2023,Active,Cardiff,3.31,SIP4093093558
AST00557,ACC00660,Mobile Voice,21/12/2023,Active,Leeds,6.55,MOB1308926610
AST00558,ACC00402,Mobile Voice,04/02/2025,Inactive,Manchester,2.83,MOB1502083854
AST00559,ACC00475,SD-WAN,25/01/2026,Active,Manchester,11.16,SDWAN8992731495
AST00560,ACC00449,Broadband,10/12/2025,Active,Leeds,8.86,BB8310026330
AST00561,ACC00610,MPLS Circuit,01/04/2026,Active,Glasgow,17.45,MPLS2383461525
AST00562,ACC00075,PSTN Line,25/08/2024,Active,Birmingham,1.27,PSTN1514407669
AST00563,ACC00598,SD-WAN,04/08/2024,Active,Glasgow,21.66,SDWAN6754316887
AST00564,ACC00516,PSTN Line,22/08/2025,Active,Cardiff,3.21,PSTN6117083738
AST00565,ACC00877,FTTC Broadband,25/07/2023,Ceased,Bristol,4.69,FTTC2184517246
AST00566,ACC00027,Ethernet Circuit,27/12/2024,Active,Edinburgh,27.15,ETH2695145419
AST00567,ACC00020,Ethernet Circuit,28/04/2024,Ceased,Bristol,32.66,ETH7667675393
AST00568,ACC00509,MPLS Circuit,24/08/2023,Active,Edinburgh,46.68,MPLS4514092206
AST00569,ACC00535,Broadband,05/07/2024,Active,Liverpool,8.14,BB1941636935
AST00570,ACC00188,SD-WAN,30/01/2023,Active,Leeds,19.66,SDWAN8617110601
AST00571,ACC00868,SIP Trunk,12/05/2024,Inactive,Liverpool,4.5,SIP3746873832
AST00572,ACC00855,Ethernet Circuit,03/02/2026,Active,Reading,29.85,ETH9762697240
AST00573,ACC00873,Mobile Voice,07/02/2026,Active,London,6.35,MOB7864016765
AST00574,ACC00479,MPLS Circuit,14/11/2025,Active,London,36.57,MPLS8183191597
AST00575,ACC00914,PSTN Line,06/02/2023,Active,Cardiff,6.16,PSTN5483993881
AST00576,ACC00479,Cloud Voice,20/04/2025,Active,Manchester,0.75,CV2667993974
AST00577,ACC00719,SD-WAN,14/11/2023,Ceased,Reading,34.04,SDWAN7901557960
AST00578,ACC00879,Cloud Voice,10/06/2024,Active,Bristol,1.6,CV8075671543
AST00579,ACC00390,MPLS Circuit,07/07/2024,Ceased,Bristol,19.41,MPLS2483506487
AST00580,ACC00850,PSTN Line,12/09/2023,Active,Cardiff,2.07,PSTN1656544649
AST00581,ACC00958,Broadband,21/02/2024,Active,Glasgow,3.34,BB4507882994
AST00582,ACC00952,PSTN Line,25/01/2023,Active,Birmingham,6.23,PSTN2380856084
AST00583,ACC00579,PSTN Line,09/03/2023,Active,Glasgow,4.76,PSTN8111724377
AST00584,ACC00903,FTTC Broadband,30/01/2023,Active,Birmingham,13.23,FTTC9288430802
AST00585,ACC00282,FTTP Broadband,04/04/2026,Ceased,Glasgow,8.39,FTTP9163108839
AST00586,ACC00506,MPLS Circuit,31/01/2025,Ceased,Manchester,61.39,MPLS4339919285
AST00587,ACC00266,Broadband,27/06/2025,Active,Liverpool,6.08,BB1381937770
AST00588,ACC00977,PSTN Line,27/04/2023,Active,Reading,0.93,PSTN9987742258
AST00589,ACC00247,Mobile Voice,12/05/2024,Active,London,4.82,MOB1820170176
AST00590,ACC00342,Mobile Voice,05/05/2025,Active,Glasgow,1.28,MOB7740979592
AST00591,ACC00075,Ethernet Circuit,04/04/2026,Ceased,London,38.36,ETH4396909612
